zona,punto_interes,accidentes,coordenadas
"Los Mártires,""Hospital de La Misericordia"",15,""[[4.590, -74.078], [4.592, -74.079], [4.591, -74.077], [4.589, -74.076]]"""
"Puente Aranda,""Zona Franca Industrial"",28,""[[4.650, -74.135], [4.652, -74.136], [4.651, -74.134], [4.649, -74.133]]"""
"Chapinero,""Avenida Circunvalar con Calle 70"",12,""[[4.655, -74.040], [4.657, -74.041], [4.656, -74.039], [4.654, -74.038]]"""
"Santa Fe,""Carrera 10 con Calle 22"",23,""[[4.605, -74.070], [4.607, -74.071], [4.606, -74.069], [4.604, -74.068]]"""
"Suba,""Avenida Boyacá con Calle 153"",20,""[[4.730, -74.070], [4.731, -74.071], [4.730, -74.069], [4.729, -74.068]]"""
"Bosa,""Centro Comercial Trebolis El Porvenir"",18,""[[4.610, -74.200], [4.612, -74.201], [4.611, -74.199], [4.609, -74.198]]"""
"Fontibón,""Zona Franca de Fontibón (Acceso)"",30,""[[4.690, -74.140], [4.692, -74.141], [4.691, -74.139], [4.689, -74.138]]"""
"Usaquén,""Parque Alcalá"",10,""[[4.715, -74.035], [4.717, -74.036], [4.716, -74.034], [4.714, -74.033]]"""
"Teusaquillo,""Carrera 30 con Calle 45"",25,""[[4.630, -74.085], [4.631, -74.086], [4.630, -74.084], [4.629, -74.083]]"""
"Engativá,""Avenida José Celestino Mutis (Calle 63)"",29,""[[4.695, -74.130], [4.697, -74.131], [4.696, -74.129], [4.694, -74.128]]"""
"San Cristóbal,""Hospital Universitario San Blas"",17,""[[4.545, -74.070], [4.547, -74.071], [4.546, -74.069], [4.544, -74.068]]"""
"Ciudad Bolívar,""Portal Tunal (Salida Sur)"",35,""[[4.550, -74.130], [4.552, -74.131], [4.551, -74.129], [4.549, -74.128]]"""
"Tunjuelito,""Avenida Boyacá con Auto Sur"",32,""[[4.575, -74.140], [4.577, -74.141], [4.576, -74.139], [4.574, -74.138]]"""
"Rafael Uribe Uribe,""Avenida NQS con Diagonal 45 Sur"",21,""[[4.560, -74.115], [4.562, -74.116], [4.561, -74.114], [4.559, -74.113]]"""
"Kennedy,""Plaza de Mercado Patio Bonito"",34,""[[4.615, -74.185], [4.617, -74.186], [4.616, -74.184], [4.614, -74.183]]"""
"Usme,""Avenida Caracas con Calle 81 Sur"",16,""[[4.490, -74.085], [4.492, -74.086], [4.491, -74.084], [4.489, -74.083]]"""
"La Candelaria,""Colegio Mayor de San Bartolomé"",8,""[[4.595, -74.070], [4.597, -74.071], [4.596, -74.069], [4.594, -74.068]]"""
"Barrios Unidos,""Parque del Virrey (simulado)"",14,""[[4.675, -74.060], [4.677, -74.061], [4.676, -74.059], [4.674, -74.058]]"""
"Santa Fe,""Carrera 7 con Calle 32"",19,""[[4.610, -74.060], [4.612, -74.061], [4.611, -74.059], [4.609, -74.058]]"""
"Suba,""Estación de Suba - Calle 100"",24,""[[4.720, -74.090], [4.722, -74.091], [4.721, -74.089], [4.719, -74.088]]"""
"Engativá,""Avenida Rojas con Calle 80"",27,""[[4.705, -74.110], [4.707, -74.111], [4.706, -74.109], [4.704, -74.108]]"""
"Bosa,""Avenida Villavicencio con Carrera 86"",26,""[[4.580, -74.175], [4.582, -74.176], [4.581, -74.174], [4.579, -74.173]]"""
"Usaquén,""Clínica La Carolina"",11,""[[4.705, -74.045], [4.707, -74.046], [4.706, -74.044], [4.704, -74.043]]"""
"Chapinero,""Carrera 15 con Calle 94"",13,""[[4.675, -74.055], [4.677, -74.056], [4.676, -74.054], [4.674, -74.053]]"""
"Teusaquillo,""Carrera 13 con Calle 34"",15,""[[4.620, -74.070], [4.622, -74.071], [4.621, -74.069], [4.619, -74.068]]"""
"Puente Aranda,""Avenida 68 con Calle 3"",31,""[[4.640, -74.105], [4.642, -74.106], [4.641, -74.104], [4.639, -74.103]]"""
"Usme,""Polideportivo Chuniza"",7,""[[4.510, -74.090], [4.512, -74.091], [4.511, -74.089], [4.509, -74.088]]"""
"Sumapaz,""Vereda Betania (simulada)"",2,""[[4.160, -74.160], [4.161, -74.161], [4.160, -74.159], [4.159, -74.158]]"""
"Rafael Uribe Uribe,""Avenida Caracas con Calle 40 Sur"",20,""[[4.570, -74.115], [4.572, -74.116], [4.571, -74.114], [4.569, -74.113]]"""
"Fontibón,""Avenida Boyacá con Calle 22"",26,""[[4.675, -74.135], [4.677, -74.136], [4.676, -74.134], [4.674, -74.133]]"""
