zona,punto_interes,accidentes,coordenadas
"Los Mártires,""Estación Tercer Milenio"",28,""[[4.590, -74.085], [4.592, -74.086], [4.591, -74.084], [4.589, -74.083]]"""
"Puente Aranda,""Zona Industrial Puente Aranda"",31,""[[4.630, -74.125], [4.632, -74.126], [4.631, -74.124], [4.629, -74.123]]"""
"Chapinero,""Carrera 7 con Calle 100"",16,""[[4.685, -74.050], [4.687, -74.051], [4.686, -74.049], [4.684, -74.048]]"""
"Santa Fe,""Carrera 13 con Calle 26"",24,""[[4.610, -74.075], [4.612, -74.076], [4.611, -74.074], [4.609, -74.073]]"""
"Suba,""Avenida Suba con Calle 145"",22,""[[4.735, -74.080], [4.737, -74.081], [4.736, -74.079], [4.734, -74.078]]"""
"Bosa,""Estación Portal Sur - Auto Sur"",37,""[[4.570, -74.180], [4.572, -74.181], [4.571, -74.179], [4.569, -74.178]]"""
"Fontibón,""Zona Aeroportuaria (Cercanía)"",15,""[[4.700, -74.145], [4.702, -74.146], [4.701, -74.144], [4.699, -74.143]]"""
"Usaquén,""Clínica Fundación Santa Fe"",11,""[[4.680, -74.040], [4.681, -74.041], [4.680, -74.039], [4.679, -74.038]]"""
"Teusaquillo,""Avenida 30 con Calle 26"",29,""[[4.640, -74.090], [4.642, -74.091], [4.641, -74.089], [4.639, -74.088]]"""
"Engativá,""Avenida Boyacá con Calle 53"",34,""[[4.690, -74.110], [4.692, -74.111], [4.691, -74.109], [4.689, -74.108]]"""
"San Cristóbal,""Parque 1 de Mayo"",14,""[[4.560, -74.075], [4.562, -74.076], [4.561, -74.074], [4.559, -74.073]]"""
"Ciudad Bolívar,""Barrio Perdomo (Av. Villavicencio)"",30,""[[4.555, -74.125], [4.557, -74.126], [4.556, -74.124], [4.554, -74.123]]"""
"Tunjuelito,""Carrera 30 (NQS) con Calle 50 Sur"",26,""[[4.570, -74.130], [4.572, -74.131], [4.571, -74.129], [4.569, -74.128]]"""
"Rafael Uribe Uribe,""Avenida Caracas con Calle 60 Sur"",23,""[[4.535, -74.100], [4.537, -74.101], [4.536, -74.099], [4.534, -74.098]]"""
"Kennedy,""Avenida Cali con Calle 40 Sur"",35,""[[4.620, -74.190], [4.622, -74.191], [4.621, -74.189], [4.619, -74.188]]"""
"Usme,""Polideportivo La Fiscala"",17,""[[4.500, -74.090], [4.502, -74.091], [4.501, -74.089], [4.499, -74.088]]"""
"La Candelaria,""Teatro Jorge Eliécer Gaitán"",9,""[[4.600, -74.070], [4.601, -74.071], [4.600, -74.069], [4.599, -74.068]]"""
"Barrios Unidos,""Calle 72 con Carrera 15"",20,""[[4.670, -74.070], [4.671, -74.071], [4.670, -74.069], [4.669, -74.068]]"""
"Santa Fe,""Parque de la Independencia"",18,""[[4.605, -74.060], [4.607, -74.061], [4.606, -74.059], [4.604, -74.058]]"""
"Suba,""Avenida Ciudad de Cali con Calle 139"",21,""[[4.730, -74.100], [4.732, -74.101], [4.731, -74.099], [4.729, -74.098]]"""
"Engativá,""Jardín Botánico (Acceso Occidental)"",13,""[[4.685, -74.125], [4.687, -74.126], [4.686, -74.124], [4.684, -74.123]]"""
"Bosa,""Avenida Auto Sur con Carrera 78"",39,""[[4.565, -74.175], [4.567, -74.176], [4.566, -74.174], [4.564, -74.173]]"""
"Usaquén,""Calle 106 con Carrera 15"",19,""[[4.690, -74.035], [4.692, -74.036], [4.691, -74.034], [4.689, -74.033]]"""
"Chapinero,""Calle 73 con Carrera 15"",12,""[[4.660, -74.055], [4.662, -74.056], [4.661, -74.054], [4.659, -74.053]]"""
"Teusaquillo,""Carrera 24 con Calle 40"",10,""[[4.630, -74.075], [4.632, -74.076], [4.631, -74.074], [4.629, -74.073]]"""
"Puente Aranda,""Avenida 68 con Calle 6"",33,""[[4.640, -74.115], [4.642, -74.116], [4.641, -74.114], [4.639, -74.113]]"""
"Usme,""Parque Entre Nubes (simulado)"",6,""[[4.520, -74.085], [4.522, -74.086], [4.521, -74.084], [4.519, -74.083]]"""
"Sumapaz,""Vereda El Tablón (simulado)"",2,""[[4.150, -74.150], [4.151, -74.151], [4.150, -74.149], [4.149, -74.148]]"""
"Rafael Uribe Uribe,""Avenida NQS con Calle 50 Sur"",27,""[[4.540, -74.105], [4.542, -74.106], [4.541, -74.104], [4.539, -74.103]]"""
"Fontibón,""Avenida El Dorado con Carrera 96"",36,""[[4.680, -74.155], [4.682, -74.156], [4.681, -74.154], [4.679, -74.153]]"""
