zona,punto_interes,accidentes,coordenadas
Bosa,"Avenida Ciudad de Cali con Auto Sur",38,"[[4.570, -74.170], [4.572, -74.171], [4.571, -74.169], [4.569, -74.168]]"
Suba,"Portal de Suba (Salida de la Avenida)",34,"[[4.745, -74.100], [4.747, -74.101], [4.746, -74.099], [4.744, -74.098]]"
Usaquén,"Carrera 19 con Calle 160",10,"[[4.740, -74.030], [4.741, -74.031], [4.740, -74.029], [4.739, -74.028]]"
Teusaquillo,"Parque Nacional Enrique Olaya Herrera",15,"[[4.610, -74.060], [4.612, -74.061], [4.611, -74.059], [4.609, -74.058]]"
Chapinero,"Carrera Séptima con Calle 85",18,"[[4.675, -74.050], [4.677, -74.051], [4.676, -74.049], [4.674, -74.048]]"
Kennedy,"Avenida Primero de Mayo con Carrera 68",31,"[[4.605, -74.140], [4.607, -74.141], [4.606, -74.139], [4.604, -74.138]]"
Engativá,"Avenida El Dorado con Avenida Boyacá",37,"[[4.690, -74.120], [4.692, -74.121], [4.691, -74.119], [4.689, -74.118]]"
Fontibón,"Calle 13 con Avenida Boyacá",29,"[[4.660, -74.130], [4.661, -74.131], [4.660, -74.129], [4.659, -74.128]]"
Ciudad Bolívar,"Autopista Sur (Cruce principal)",40,"[[4.550, -74.140], [4.552, -74.141], [4.551, -74.139], [4.549, -74.138]]"
San Cristóbal,"Parque Metropolitano San Cristóbal",9,"[[4.590, -74.090], [4.591, -74.091], [4.590, -74.089], [4.589, -74.088]]"
Tunjuelito,"Escuela General Santander",13,"[[4.580, -74.100], [4.581, -74.101], [4.580, -74.099], [4.579, -74.098]]"
Puente Aranda,"Puente Aranda (Centro Comercial)",16,"[[4.645, -74.125], [4.647, -74.126], [4.646, -74.124], [4.644, -74.123]]"
Rafael Uribe Uribe,"Avenida 1 de Mayo con Carrera 10",24,"[[4.580, -74.095], [4.582, -74.096], [4.581, -74.094], [4.579, -74.093]]"
Usme,"Polideportivo La Aurora",7,"[[4.520, -74.090], [4.521, -74.091], [4.520, -74.089], [4.519, -74.088]]"
La Candelaria,"Plaza de Bolívar",17,"[[4.590, -74.070], [4.591, -74.071], [4.590, -74.069], [4.589, -74.068]]"
Barrios Unidos,"Parque de Los Novios",11,"[[4.660, -74.095], [4.662, -74.096], [4.661, -74.094], [4.659, -74.093]]"
Santa Fe,"Universidad de los Andes",12,"[[4.600, -74.067], [4.601, -74.068], [4.600, -74.066], [4.599, -74.065]]"
Suba,"Avenida Boyacá con Calle 129",20,"[[4.720, -74.060], [4.721, -74.061], [4.720, -74.059], [4.719, -74.058]]"
Engativá,"Calle 80 con Carrera 68",35,"[[4.700, -74.105], [4.702, -74.106], [4.701, -74.104], [4.699, -74.103]]"
Kennedy,"Plaza de Mercado de Kennedy",25,"[[4.620, -74.160], [4.622, -74.161], [4.621, -74.159], [4.619, -74.158]]"
Bosa,"Estación de Bomberos Bosa",8,"[[4.580, -74.185], [4.581, -74.186], [4.580, -74.184], [4.579, -74.183]]"
Usaquén,"Clínica El Country",19,"[[4.670, -74.045], [4.671, -74.046], [4.670, -74.044], [4.669, -74.043]]"
Chapinero,"Carrera 11 con Calle 79",14,"[[4.670, -74.050], [4.671, -74.051], [4.670, -74.049], [4.669, -74.048]]"
Teusaquillo,"Avenida 30 con Calle 63",22,"[[4.640, -74.085], [4.642, -74.086], [4.641, -74.084], [4.639, -74.083]]"
Puente Aranda,"Calle 13 con Carrera 50",27,"[[4.640, -74.110], [4.641, -74.111], [4.640, -74.109], [4.639, -74.108]]"
Usme,"Avenida Boyacá con Avenida Caracas (simulado)",30,"[[4.505, -74.105], [4.507, -74.106], [4.506, -74.104], [4.504, -74.103]]"
Sumapaz,"Sector La Unión (simulado)",2,"[[4.180, -74.180], [4.181, -74.181], [4.180, -74.179], [4.179, -74.178]]"
Rafael Uribe Uribe,"Avenida Caracas con Calle 53 Sur",26,"[[4.545, -74.105], [4.547, -74.106], [4.546, -74.104], [4.544, -74.103]]"
Fontibón,"Avenida El Dorado con Carrera 68",33,"[[4.685, -74.110], [4.687, -74.111], [4.686, -74.109], [4.684, -74.108]]"
Barrios Unidos,"Carrera 30 con Calle 68",21,"[[4.660, -74.080], [4.662, -74.081], [4.661, -74.079], [4.659, -74.078]]"
