zona,punto_interes,accidentes,coordenadas
Los Mártires,"Estación de la Sabana (simulada)",5,"[[4.600, -74.085], [4.602, -74.086], [4.601, -74.084], [4.599, -74.083]]"
Puente Aranda,"Sede IDU (Carrera 30)",3,"[[4.635, -74.100], [4.637, -74.101], [4.636, -74.099], [4.634, -74.098]]"
Chapinero,"Parque de la 93",1,"[[4.680, -74.055], [4.682, -74.056], [4.681, -74.054], [4.679, -74.053]]"
Santa Fe,"Planetario de Bogotá",4,"[[4.605, -74.070], [4.607, -74.071], [4.606, -74.069], [4.604, -74.068]]"
Suba,"Parque Mirador de los Nevados",2,"[[4.740, -74.080], [4.742, -74.081], [4.741, -74.079], [4.739, -74.078]]"
Bosa,"Avenida Ciudad de Cali con Calle 50 Sur",6,"[[4.590, -74.185], [4.592, -74.186], [4.591, -74.184], [4.589, -74.183]]"
Fontibón,"Recodo del Río Bogotá (simulado)",2,"[[4.700, -74.150], [4.702, -74.151], [4.701, -74.149], [4.699, -74.148]]"
Usaquén,"Parque El Country",5,"[[4.695, -74.050], [4.697, -74.051], [4.696, -74.049], [4.694, -74.048]]"
Teusaquillo,"Biblioteca Nacional",4,"[[4.610, -74.080], [4.612, -74.081], [4.611, -74.079], [4.609, -74.078]]"
Engativá,"Jardín Botánico (Acceso Principal)",3,"[[4.670, -74.120], [4.672, -74.121], [4.671, -74.119], [4.669, -74.118]]"
San Cristóbal,"Parque Metropolitano San Cristóbal",5,"[[4.550, -74.090], [4.552, -74.091], [4.551, -74.089], [4.549, -74.088]]"
Ciudad Bolívar,"Mirador Torreón (simulado)",7,"[[4.540, -74.130], [4.542, -74.131], [4.541, -74.129], [4.539, -74.128]]"
Tunjuelito,"Parque El Tunal",1,"[[4.565, -74.120], [4.567, -74.121], [4.566, -74.119], [4.564, -74.118]]"
Rafael Uribe Uribe,"Parque San Carlos",3,"[[4.560, -74.110], [4.562, -74.111], [4.561, -74.109], [4.559, -74.108]]"
Kennedy,"Parque Metropolitano Timiza",2,"[[4.615, -74.180], [4.617, -74.181], [4.616, -74.179], [4.614, -74.178]]"
Usme,"Parque Ecológico Entrenubes",1,"[[4.500, -74.090], [4.502, -74.091], [4.501, -74.089], [4.499, -74.088]]"
La Candelaria,"Museo Botero",2,"[[4.590, -74.060], [4.592, -74.061], [4.591, -74.059], [4.589, -74.058]]"
Barrios Unidos,"Parque Simón Bolívar (simulado)",5,"[[4.665, -74.075], [4.667, -74.076], [4.666, -74.074], [4.664, -74.073]]"
Santa Fe,"Parque de la Independencia",3,"[[4.610, -74.060], [4.612, -74.061], [4.611, -74.059], [4.609, -74.058]]"
Suba,"Humedal La Conejera",1,"[[4.745, -74.090], [4.747, -74.091], [4.746, -74.089], [4.744, -74.088]]"
Engativá,"Humedal Jaboque",4,"[[4.705, -74.120], [4.707, -74.121], [4.706, -74.119], [4.704, -74.118]]"
Bosa,"Parque Recreodeportivo El Porvenir",5,"[[4.585, -74.195], [4.587, -74.196], [4.586, -74.194], [4.584, -74.193]]"
Usaquén,"Hacienda Santa Bárbara",3,"[[4.710, -74.045], [4.712, -74.046], [4.711, -74.044], [4.709, -74.043]]"
Chapinero,"Centro Comercial Andino",2,"[[4.670, -74.050], [4.672, -74.051], [4.671, -74.049], [4.669, -74.048]]"
Teusaquillo,"Parque Nacional (Simulado)",1,"[[4.625, -74.070], [4.627, -74.071], [4.626, -74.069], [4.624, -74.068]]"
Puente Aranda,"Humedal El Salitre (simulado)",4,"[[4.650, -74.115], [4.652, -74.116], [4.651, -74.114], [4.649, -74.113]]"
Usme,"Vereda La Regadera (simulada)",1,"[[4.495, -74.090], [4.497, -74.091], [4.496, -74.089], [4.494, -74.088]]"
Sumapaz,"Paramo de Sumapaz (simulado)",0,"[[4.190, -74.190], [4.191, -74.191], [4.190, -74.189], [4.189, -74.188]]"
Rafael Uribe Uribe,"Parque Quiroga (simulado)",2,"[[4.570, -74.100], [4.572, -74.101], [4.571, -74.099], [4.569, -74.098]]"
Fontibón,"Humedal Capellanía",3,"[[4.680, -74.140], [4.682, -74.141], [4.681, -74.139], [4.679, -74.138]]"
