zona,punto_interes,accidentes,coordenadas
Los Martires,"Palacio de Nariño (simulado)",19,"[[4.598, -74.077], [4.600, -74.078], [4.599, -74.076], [4.597, -74.075]]"
Puente Aranda,"Terminal de Transporte (El Salitre)",32,"[[4.650, -74.120], [4.652, -74.121], [4.651, -74.119], [4.649, -74.118]]"
Chapinero,"Zona G (Gastro)",6,"[[4.670, -74.055], [4.671, -74.056], [4.670, -74.054], [4.669, -74.053]]"
Santa Fe,"Museo del Oro",14,"[[4.600, -74.070], [4.601, -74.071], [4.600, -74.069], [4.599, -74.068]]"
Suba,"Club Campestre Guaymaral",4,"[[4.800, -74.030], [4.801, -74.031], [4.800, -74.029], [4.799, -74.028]]"
Bosa,"Avenida Villavicencio (Cruce Principal)",27,"[[4.560, -74.160], [4.562, -74.161], [4.561, -74.159], [4.559, -74.158]]"
Fontibon,"Parque Industrial lamos",12,"[[4.710, -74.135], [4.711, -74.136], [4.710, -74.134], [4.709, -74.133]]"
Usaquen,"Cli­nica Reina Sofi­a",8,"[[4.705, -74.040], [4.706, -74.041], [4.705, -74.039], [4.704, -74.038]]"
Teusaquillo,"Centro Internacional",23,"[[4.615, -74.065], [4.617, -74.066], [4.616, -74.064], [4.614, -74.063]]"
Engativa,"Portal de la 80 (Avenida Ciudad de Cali)",35,"[[4.700, -74.115], [4.702, -74.116], [4.701, -74.114], [4.699, -74.113]]"
San Cristobal,"20 de Julio (Plaza)",20,"[[4.575, -74.080], [4.577, -74.081], [4.576, -74.079], [4.574, -74.078]]"
Ciudad Bolivar,"Sector El Paraiso",18,"[[4.520, -74.100], [4.522, -74.101], [4.521, -74.099], [4.519, -74.098]]"
Tunjuelito,"Centro Comercial Centro Mayor",25,"[[4.585, -74.135], [4.587, -74.136], [4.586, -74.134], [4.584, -74.133]]"
Rafael Uribe Uribe,"Avenida Caracas con Diagonal 47 Sur",21,"[[4.550, -74.110], [4.552, -74.111], [4.551, -74.109], [4.549, -74.108]]"
