zona,punto_interes,accidentes,coordenadas
Bosa,"Bosa Central (Carrera 80)",26,"[[4.580, -74.190], [4.582, -74.191], [4.581, -74.189], [4.579, -74.188]]"
Suba,"Centro Comercial Bulevar",19,"[[4.710, -74.075], [4.712, -74.076], [4.711, -74.074], [4.709, -74.073]]"
Usaquén,"Calle 153 con Autopista Norte",28,"[[4.735, -74.035], [4.737, -74.036], [4.736, -74.034], [4.734, -74.033]]"
Teusaquillo,"Parque de la 57",12,"[[4.630, -74.070], [4.632, -74.071], [4.631, -74.069], [4.629, -74.068]]"
Chapinero,"Calle 85 con Carrera 11",22,"[[4.675, -74.045], [4.677, -74.046], [4.676, -74.044], [4.674, -74.043]]"
Kennedy,"Avenida Boyacá con Calle 38 Sur",30,"[[4.610, -74.160], [4.612, -74.161], [4.611, -74.159], [4.609, -74.158]]"
Engativá,"Calle 72 con Avenida Cali",25,"[[4.700, -74.110], [4.702, -74.111], [4.701, -74.109], [4.699, -74.108]]"
Fontibón,"Puente Aéreo (El Dorado)",17,"[[4.705, -74.145], [4.707, -74.146], [4.706, -74.144], [4.704, -74.143]]"
Ciudad Bolívar,"Avenida Villavicencio con Carrera 38",33,"[[4.555, -74.125], [4.557, -74.126], [4.556, -74.124], [4.554, -74.123]]"
San Cristóbal,"Hospital La Victoria",16,"[[4.550, -74.070], [4.552, -74.071], [4.551, -74.069], [4.549, -74.068]]"
Tunjuelito,"Carrera 51 con Calle 45 Sur",14,"[[4.565, -74.135], [4.567, -74.136], [4.566, -74.134], [4.564, -74.133]]"
Rafael Uribe Uribe,"Avenida NQS con Calle 48 Sur",23,"[[4.575, -74.130], [4.577, -74.131], [4.576, -74.129], [4.574, -74.128]]"
Usme,"Diagonal 77 Sur con Carrera 14",10,"[[4.510, -74.100], [4.512, -74.101], [4.511, -74.099], [4.509, -74.098]]"
La Candelaria,"Carrera 3 con Calle 10",9,"[[4.590, -74.060], [4.592, -74.061], [4.591, -74.059], [4.589, -74.058]]"
Barrios Unidos,"Calle 72 con Carrera 50",18,"[[4.660, -74.085], [4.662, -74.086], [4.661, -74.084], [4.659, -74.083]]"
Santa Fe,"Carrera 7 con Calle 26",20,"[[4.615, -74.060], [4.617, -74.061], [4.616, -74.059], [4.614, -74.058]]"
Suba,"Calle 170 con Carrera 58",27,"[[4.750, -74.080], [4.752, -74.081], [4.751, -74.079], [4.749, -74.078]]"
Engativá,"Avenida Rojas con Calle 80",31,"[[4.710, -74.120], [4.712, -74.121], [4.711, -74.119], [4.709, -74.118]]"
Bosa,"Avenida Ciudad de Cali con Calle 70 Sur",35,"[[4.575, -74.200], [4.577, -74.201], [4.576, -74.199], [4.574, -74.198]]"
Usaquén,"Calle 127 con Carrera 7",15,"[[4.705, -74.040], [4.707, -74.041], [4.706, -74.039], [4.704, -74.038]]"
Chapinero,"Carrera 7 con Calle 40",13,"[[4.640, -74.050], [4.642, -74.051], [4.641, -74.049], [4.639, -74.048]]"
Teusaquillo,"Calle 45 con Carrera 13",17,"[[4.635, -74.065], [4.637, -74.066], [4.636, -74.064], [4.634, -74.063]]"
Puente Aranda,"Calle 13 con Carrera 38",29,"[[4.630, -74.115], [4.632, -74.116], [4.631, -74.114], [4.629, -74.113]]"
Usme,"Barrio Puerta al Llano",8,"[[4.490, -74.095], [4.492, -74.096], [4.491, -74.094], [4.489, -74.093]]"
Sumapaz,"Vereda Santa Rosa (simulada)",1,"[[4.185, -74.175], [4.187, -74.176], [4.186, -74.174], [4.184, -74.173]]"
Rafael Uribe Uribe,"Calle 30 Sur con Carrera 24",24,"[[4.565, -74.110], [4.567, -74.111], [4.566, -74.109], [4.564, -74.108]]"
Fontibón,"Zona Industrial San Bernardo",21,"[[4.695, -74.150], [4.697, -74.151], [4.696, -74.149], [4.694, -74.148]]"
Barrios Unidos,"Carrera 68 con Calle 80",26,"[[4.680, -74.090], [4.682, -74.091], [4.681, -74.089], [4.679, -74.088]]"
Santa Fe,"Carrera 10 con Calle 6",18,"[[4.595, -74.070], [4.597, -74.071], [4.596, -74.069], [4.594, -74.068]]"
Suba,"Avenida Ciudad de Cali con Calle 145",32,"[[4.740, -74.100], [4.742, -74.101], [4.741, -74.099], [4.739, -74.098]]"
