zona,punto_interes,accidentes,coordenadas
Usaquén,"Centro Comercial Santafé",15,"[[4.762, -74.042], [4.764, -74.042], [4.764, -74.039], [4.762, -74.039]]"
Chapinero,"Parque de la 93",21,"[[4.676, -74.053], [4.677, -74.053], [4.677, -74.052], [4.676, -74.052]]"
Teusaquillo,"Parque Simón Bolívar",14,"[[4.658, -74.093], [4.662, -74.098], [4.655, -74.102], [4.653, -74.095]]"
La Candelaria,"Chorro de Quevedo",8,"[[4.595, -74.071], [4.596, -74.071], [4.595, -74.070]]"
Puente Aranda,"Zona Industrial Montevideo",19,"[[4.640, -74.130], [4.645, -74.132], [4.643, -74.138], [4.638, -74.135]]"
Engativá,"Centro Comercial Titán Plaza",17,"[[4.698, -74.095], [4.700, -74.096], [4.699, -74.093], [4.697, -74.094]]"
Suba,"Centro Comercial Plaza Imperial",11,"[[4.770, -74.098], [4.772, -74.099], [4.771, -74.096], [4.769, -74.097]]"
Fontibón,"Aeropuerto El Dorado",28,"[[4.701, -74.146], [4.705, -74.150], [4.698, -74.140], [4.702, -74.135]]"
Kennedy,"Corabastos",24,"[[4.622, -74.155], [4.625, -74.158], [4.620, -74.160], [4.618, -74.157]]"
Bosa,"Portal Américas",16,"[[4.638, -74.180], [4.640, -74.181], [4.639, -74.178], [4.637, -74.179]]"
Ciudad Bolívar,"Estación TransMiCable - El Paraíso",6,"[[4.568, -74.169], [4.569, -74.170], [4.568, -74.168]]"
San Cristóbal,"Portal 20 de Julio",9,"[[4.569, -74.088], [4.571, -74.089], [4.570, -74.086], [4.568, -74.087]]"
Usaquén,"Parque de Usaquén",7,"[[4.704, -74.029], [4.705, -74.030], [4.703, -74.028], [4.702, -74.029]]"
Chapinero,"Zona G (Gastronómica)",13,"[[4.648, -74.055], [4.650, -74.056], [4.649, -74.053], [4.647, -74.054]]"
Tunjuelito,"Parque El Tunal",10,"[[4.575, -74.123], [4.578, -74.125], [4.573, -74.128], [4.571, -74.124]]"
