zona,punto_interes,accidentes,coordenadas
Bosa,"Estación Transmilenio San Mateo",25,"[[4.595, -74.195], [4.597, -74.196], [4.596, -74.194], [4.594, -74.193]]"
Suba,"Centro Comercial Centro Suba",14,"[[4.725, -74.075], [4.727, -74.076], [4.726, -74.074], [4.724, -74.073]]"
Usaquén,"Carrera 7 con Calle 116",19,"[[4.690, -74.030], [4.691, -74.031], [4.690, -74.029], [4.689, -74.028]]"
Teusaquillo,"Parque Eje Ambiental (Av. Jiménez)",10,"[[4.600, -74.075], [4.601, -74.076], [4.600, -74.074], [4.599, -74.073]]"
Chapinero,"Teatro Mayor Julio Mario Santo Domingo (simulado)",9,"[[4.665, -74.065], [4.667, -74.066], [4.666, -74.064], [4.664, -74.063]]"
Kennedy,"Carrera 80 con Calle 3",33,"[[4.620, -74.165], [4.622, -74.166], [4.621, -74.164], [4.619, -74.163]]"
Engativá,"Avenida 68 con Avenida El Dorado",36,"[[4.675, -74.105], [4.677, -74.106], [4.676, -74.104], [4.674, -74.103]]"
Fontibón,"Recodo del Río Bogotá (simulado)",5,"[[4.670, -74.150], [4.671, -74.151], [4.670, -74.149], [4.669, -74.148]]"
Ciudad Bolívar,"Sector Mochuelo Bajo",12,"[[4.530, -74.105], [4.532, -74.106], [4.531, -74.104], [4.529, -74.103]]"
San Cristóbal,"Centro Comercial Altavista",18,"[[4.555, -74.075], [4.557, -74.076], [4.556, -74.074], [4.554, -74.073]]"
Tunjuelito,"Carrera 24 con Calle 48 Sur",21,"[[4.570, -74.120], [4.572, -74.121], [4.571, -74.119], [4.569, -74.118]]"
Puente Aranda,"Avenida 30 (NQS) con Calle 6",28,"[[4.635, -74.100], [4.637, -74.101], [4.636, -74.099], [4.634, -74.098]]"
Rafael Uribe Uribe,"Barrio Claret (Calle 44 Sur)",16,"[[4.565, -74.110], [4.567, -74.111], [4.566, -74.109], [4.564, -74.108]]"
Usme,"Hospital San Blas",11,"[[4.530, -74.080], [4.531, -74.081], [4.530, -74.079], [4.529, -74.078]]"
La Candelaria,"Universidad Externado de Colombia",13,"[[4.590, -74.065], [4.591, -74.066], [4.590, -74.064], [4.589, -74.063]]"
Barrios Unidos,"Avenida 68 con Calle 80",30,"[[4.700, -74.100], [4.702, -74.101], [4.701, -74.099], [4.699, -74.098]]"
Santa Fe,"Planetario de Bogotá",15,"[[4.605, -74.065], [4.607, -74.066], [4.606, -74.064], [4.604, -74.063]]"
Suba,"Portal de la 170",22,"[[4.750, -74.060], [4.752, -74.061], [4.751, -74.059], [4.749, -74.058]]"
Engativá,"Avenida Boyacá con Calle 26",35,"[[4.680, -74.115], [4.682, -74.116], [4.681, -74.114], [4.679, -74.113]]"
Kennedy,"Patio Bonito (Carrera 89)",29,"[[4.610, -74.180], [4.612, -74.181], [4.611, -74.179], [4.609, -74.178]]"
Bosa,"Avenida Bosa con Carrera 80",27,"[[4.605, -74.180], [4.607, -74.181], [4.606, -74.179], [4.604, -74.178]]"
Usaquén,"Carrera 9 con Calle 100",17,"[[4.680, -74.035], [4.681, -74.036], [4.680, -74.034], [4.679, -74.033]]"
Chapinero,"Carrera 13 con Calle 63",11,"[[4.645, -74.065], [4.647, -74.066], [4.646, -74.064], [4.644, -74.063]]"
Teusaquillo,"Centro Administrativo Nacional (CAN)",14,"[[4.650, -74.085], [4.652, -74.086], [4.651, -74.084], [4.649, -74.083]]"
Puente Aranda,"Avenida 68 con Calle 13",32,"[[4.630, -74.115], [4.632, -74.116], [4.631, -74.114], [4.629, -74.113]]"
Usme,"Avenida Caracas con Calle 92 Sur",15,"[[4.495, -74.095], [4.497, -74.096], [4.496, -74.094], [4.494, -74.093]]"
Sumapaz,"Sector El Nevado (simulado)",3,"[[4.170, -74.170], [4.171, -74.171], [4.170, -74.169], [4.169, -74.168]]"
Rafael Uribe Uribe,"Centro de Desarrollo Infantil (CDI)",8,"[[4.570, -74.100], [4.571, -74.101], [4.570, -74.099], [4.569, -74.098]]"
Fontibón,"Terminal de Carga (simulado)",24,"[[4.665, -74.145], [4.667, -74.146], [4.666, -74.144], [4.664, -74.143]]"
Barrios Unidos,"Calle 100 con Carrera 15",20,"[[4.680, -74.065], [4.681, -74.066], [4.680, -74.064], [4.679, -74.063]]"
