zona,punto_interes,accidentes,coordenadas
Los Mártires,"Estación Tercer Milenio",25,"[[4.590, -74.070], [4.592, -74.071], [4.591, -74.069], [4.589, -74.068]]"
Chapinero,"Avenida Chile (Calle 72) con Carrera 7",28,"[[4.655, -74.055], [4.657, -74.056], [4.656, -74.054], [4.654, -74.053]]"
Teusaquillo,"Universidad Nacional (Entrada 30)",16,"[[4.635, -74.085], [4.637, -74.086], [4.636, -74.084], [4.634, -74.083]]"
La Candelaria,"Plaza de Bolívar",11,"[[4.598, -74.075], [4.600, -74.076], [4.599, -74.074], [4.597, -74.073]]"
Puente Aranda,"Centro Mayor Centro Comercial",23,"[[4.595, -74.135], [4.597, -74.136], [4.596, -74.134], [4.594, -74.133]]"
Engativá,"Avenida Mutis con Avenida 68",20,"[[4.685, -74.105], [4.687, -74.106], [4.686, -74.104], [4.684, -74.103]]"
Suba,"Avenida Boyacá con Calle 138",34,"[[4.715, -74.090], [4.717, -74.091], [4.716, -74.089], [4.714, -74.088]]"
Bosa,"Avenida Bosa con Avenida Ciudad de Cali",38,"[[4.565, -74.180], [4.567, -74.181], [4.566, -74.179], [4.564, -74.178]]"
Fontibón,"Zona Franca",19,"[[4.680, -74.180], [4.682, -74.181], [4.681, -74.179], [4.679, -74.178]]"
Usaquén,"Carrera 7 con Calle 100",22,"[[4.700, -74.030], [4.702, -74.031], [4.701, -74.029], [4.699, -74.028]]"
San Cristóbal,"20 de Julio (Carrera 10)",27,"[[4.580, -74.080], [4.582, -74.081], [4.581, -74.079], [4.579, -74.078]]"
Ciudad Bolívar,"Sector Arborizadora Alta",30,"[[4.530, -74.130], [4.532, -74.131], [4.531, -74.129], [4.529, -74.128]]"
Tunjuelito,"Escuela de Cadetes General Santander",15,"[[4.590, -74.110], [4.592, -74.111], [4.591, -74.109], [4.589, -74.108]]"
Rafael Uribe Uribe,"Parque Lleras Restrepo",18,"[[4.560, -74.090], [4.562, -74.091], [4.561, -74.089], [4.559, -74.088]]"
Kennedy,"Plaza de Las Américas Centro Comercial",36,"[[4.615, -74.140], [4.617, -74.141], [4.616, -74.139], [4.614, -74.138]]"
Usme,"Avenida Boyacá con Calle 92 Sur",14,"[[4.500, -74.110], [4.502, -74.111], [4.501, -74.109], [4.499, -74.108]]"
Barrios Unidos,"Estación Calle 100 (TransMilenio)",21,"[[4.680, -74.070], [4.682, -74.071], [4.681, -74.069], [4.679, -74.068]]"
Santa Fe,"Planetario Distrital",17,"[[4.605, -74.070], [4.607, -74.071], [4.606, -74.069], [4.604, -74.068]]"
Suba,"Avenida Suba con Calle 100",24,"[[4.700, -74.095], [4.702, -74.096], [4.701, -74.094], [4.699, -74.093]]"
Engativá,"Portal 80 (TransMilenio)",32,"[[4.710, -74.110], [4.712, -74.111], [4.711, -74.109], [4.709, -74.108]]"
Bosa,"Estación San Mateo",29,"[[4.570, -74.185], [4.572, -74.186], [4.571, -74.184], [4.569, -74.183]]"
Usaquén,"Carrera 15 con Calle 100",26,"[[4.690, -74.040], [4.692, -74.041], [4.691, -74.039], [4.689, -74.038]]"
Chapinero,"Zona Rosa (Calle 82)",31,"[[4.670, -74.050], [4.672, -74.051], [4.671, -74.049], [4.669, -74.048]]"
Teusaquillo,"Movistar Arena",10,"[[4.655, -74.080], [4.657, -74.081], [4.656, -74.079], [4.654, -74.078]]"
Puente Aranda,"Carrera 50 con Calle 13",24,"[[4.620, -74.120], [4.622, -74.121], [4.621, -74.119], [4.619, -74.118]]"
Usme,"Avenida Caracas con Calle 68 Sur",12,"[[4.505, -74.105], [4.507, -74.106], [4.506, -74.104], [4.504, -74.103]]"
Sumapaz,"Vereda San Juan (simulada)",5,"[[4.195, -74.165], [4.197, -74.166], [4.196, -74.164], [4.194, -74.163]]"
Rafael Uribe Uribe,"Barrio Claret",20,"[[4.580, -74.100], [4.582, -74.101], [4.581, -74.099], [4.579, -74.098]]"
Fontibón,"Terminal de Carga (El Dorado)",25,"[[4.710, -74.160], [4.712, -74.161], [4.711, -74.159], [4.709, -74.158]]"
San Cristóbal,"Avenida Circunvalar con Calle 6",17,"[[4.575, -74.075], [4.577, -74.076], [4.576, -74.074], [4.574, -74.073]]"
