zona,punto_interes,accidentes,coordenadas
Kennedy,"Portal Banderas (TransMilenio)",42,"[[4.610, -74.145], [4.612, -74.146], [4.611, -74.144], [4.609, -74.143]]"
Suba,"Centro Comercial Parque la Colina",18,"[[4.755, -74.055], [4.757, -74.056], [4.756, -74.054], [4.754, -74.053]]"
Usme,"Yomasa (Avenida Caracas)",29,"[[4.485, -74.120], [4.487, -74.121], [4.486, -74.119], [4.484, -74.118]]"
Chapinero,"Calle 70 con Carrera 7",21,"[[4.650, -74.050], [4.652, -74.051], [4.651, -74.049], [4.649, -74.048]]"
Fontibón,"Carrera 68 con Calle 22",35,"[[4.680, -74.100], [4.682, -74.101], [4.681, -74.099], [4.679, -74.098]]"
Barrios Unidos,"NQS con Calle 63",14,"[[4.650, -74.075], [4.652, -74.076], [4.651, -74.074], [4.649, -74.073]]"
Santa Fe,"Carrera 7 con Calle 19",16,"[[4.608, -74.070], [4.610, -74.071], [4.609, -74.069], [4.607, -74.068]]"
La Candelaria,"Calle 19 con Carrera 4",9,"[[4.600, -74.060], [4.602, -74.061], [4.601, -74.059], [4.599, -74.058]]"
Ciudad Bolívar,"Portal Tunal (TransMilenio)",33,"[[4.545, -74.110], [4.547, -74.111], [4.546, -74.109], [4.544, -74.108]]"
Engativá,"Humedal Jaboque (Sector)",12,"[[4.700, -74.140], [4.702, -74.141], [4.701, -74.139], [4.699, -74.138]]"
Bosa,"Avenida Ciudad de Cali con Calle 60 Sur",45,"[[4.550, -74.195], [4.552, -74.196], [4.551, -74.194], [4.549, -74.193]]"
Tunjuelito,"Centro Comercial El Tunal",17,"[[4.555, -74.130], [4.557, -74.131], [4.556, -74.129], [4.554, -74.128]]"
Rafael Uribe Uribe,"Avenida Boyacá con Calle 50 Sur",26,"[[4.550, -74.100], [4.552, -74.101], [4.551, -74.099], [4.549, -74.098]]"
Usaquén,"Hacienda Santa Bárbara",19,"[[4.695, -74.035], [4.697, -74.036], [4.696, -74.034], [4.694, -74.033]]"
Suba,"Calle 127 con Avenida Boyacá",31,"[[4.700, -74.105], [4.702, -74.106], [4.701, -74.104], [4.699, -74.103]]"
Teusaquillo,"El Campín Estadio",15,"[[4.640, -74.080], [4.642, -74.081], [4.641, -74.079], [4.639, -74.078]]"
Puente Aranda,"Centro Comercial Industrial La 10",22,"[[4.625, -74.125], [4.627, -74.126], [4.626, -74.124], [4.624, -74.123]]"
Los Mártires,"Avenida Caracas con Calle 6",28,"[[4.600, -74.080], [4.602, -74.081], [4.601, -74.079], [4.599, -74.078]]"
San Cristóbal,"Hospital Universitario San Juan de Dios",13,"[[4.565, -74.070], [4.567, -74.071], [4.566, -74.069], [4.564, -74.068]]"
Kennedy,"Carrera 68 con Calle 13",39,"[[4.625, -74.150], [4.627, -74.151], [4.626, -74.149], [4.624, -74.148]]"
Fontibón,"Puente Grande (Río Bogotá)",10,"[[4.720, -74.185], [4.722, -74.186], [4.721, -74.184], [4.719, -74.183]]"
Usaquén,"Calle 170 con Carrera 9",24,"[[4.745, -74.030], [4.747, -74.031], [4.746, -74.029], [4.744, -74.028]]"
Chapinero,"Calle 63 con Carrera 7",27,"[[4.645, -74.055], [4.647, -74.056], [4.646, -74.054], [4.644, -74.053]]"
Teusaquillo,"Sede Administrativa ETB",11,"[[4.645, -74.070], [4.647, -74.071], [4.646, -74.069], [4.644, -74.068]]"
Engativá,"El Cortijo (Sector)",23,"[[4.715, -74.135], [4.717, -74.136], [4.716, -74.134], [4.714, -74.133]]"
Bosa,"Estación TransMilenio Perdomo",30,"[[4.545, -74.180], [4.547, -74.181], [4.546, -74.179], [4.544, -74.178]]"
Suba,"Avenida Cali con Calle 170",36,"[[4.760, -74.110], [4.762, -74.111], [4.761, -74.109], [4.759, -74.108]]"
Ciudad Bolívar,"Mirador El Paraíso",15,"[[4.520, -74.140], [4.522, -74.141], [4.521, -74.139], [4.519, -74.138]]"
Tunjuelito,"Avenida Boyacá con Avenida Caracas",20,"[[4.560, -74.125], [4.562, -74.126], [4.561, -74.124], [4.559, -74.123]]"
Rafael Uribe Uribe,"Avenida Caracas con Calle 44 Sur",25,"[[4.570, -74.105], [4.572, -74.106], [4.571, -74.104], [4.569, -74.103]]"

