zona,punto_interes,accidentes,coordenadas
"Los Mártires,""Palacio de Nariño (simulado)"",9,""[[4.598, -74.077], [4.600, -74.078], [4.599, -74.076], [4.597, -74.075]]"""
"Puente Aranda,""Terminal de Transporte (El Salitre)"",2,""[[4.650, -74.120], [4.652, -74.121], [4.651, -74.119], [4.649, -74.118]]"""
"Chapinero,""Zona G (Gastronómica)"",6,""[[4.670, -74.055], [4.671, -74.056], [4.670, -74.054], [4.669, -74.053]]"""
"Santa Fe,""Museo del Oro"",4,""[[4.600, -74.070], [4.601, -74.071], [4.600, -74.069], [4.599, -74.068]]"""
"Suba,""Club Campestre Guaymaral"",4,""[[4.800, -74.030], [4.801, -74.031], [4.800, -74.029], [4.799, -74.028]]"""
"Bosa,""Avenida Villavicencio (Cruce Principal)"",2,""[[4.560, -74.160], [4.562, -74.161], [4.561, -74.159], [4.559, -74.158]]"""
"Fontibón,""Parque Industrial Álamos"",2,""[[4.710, -74.135], [4.711, -74.136], [4.710, -74.134], [4.709, -74.133]]"""
"Usaquén,""Clínica Reina Sofía"",8,""[[4.705, -74.040], [4.706, -74.041], [4.705, -74.039], [4.704, -74.038]]"""
"Teusaquillo,""Centro Internacional"",3,""[[4.615, -74.065], [4.617, -74.066], [4.616, -74.064], [4.614, -74.063]]"""
"Engativá,""Portal de la 80 (Avenida Ciudad de Cali)"",5,""[[4.700, -74.115], [4.702, -74.116], [4.701, -74.114], [4.699, -74.113]]"""
"San Cristóbal,""20 de Julio (Plaza)"",2,""[[4.575, -74.080], [4.577, -74.081], [4.576, -74.079], [4.574, -74.078]]"""
"Ciudad Bolívar,""Sector El Paraíso"",8,""[[4.520, -74.100], [4.522, -74.101], [4.521, -74.099], [4.519, -74.098]]"""
"Tunjuelito,""Centro Comercial Centro Mayor"",5,""[[4.585, -74.135], [4.587, -74.136], [4.586, -74.134], [4.584, -74.133]]"""
"Rafael Uribe Uribe,""Avenida Caracas con Diagonal 47 Sur"",1,""[[4.550, -74.110], [4.552, -74.111], [4.551, -74.109], [4.549, -74.108]]"""
"Kennedy,""Carrera 86 con Calle 43 Sur"",3,""[[4.610, -74.170], [4.612, -74.171], [4.611, -74.169], [4.609, -74.168]]"""
"Usme,""Avenida Caracas con Calle 68 Sur"",6,""[[4.510, -74.110], [4.512, -74.111], [4.511, -74.109], [4.509, -74.108]]"""
"La Candelaria,""Teatro Colón"",1,""[[4.596, -74.069], [4.598, -74.070], [4.597, -74.068], [4.595, -74.067]]"""
"Barrios Unidos,""Avenida NQS con Calle 68"",4,""[[4.660, -74.085], [4.662, -74.086], [4.661, -74.084], [4.659, -74.083]]"""
"Sumapaz,""Vereda San Juan (simulada)"",1,""[[4.200, -74.200], [4.201, -74.201], [4.200, -74.199], [4.199, -74.198]]"""
"Chapinero,""Avenida Circunvalar con Calle 85"",13,""[[4.675, -74.040], [4.676, -74.041], [4.675, -74.039], [4.674, -74.038]]"""
"Bosa,""Avenida Cali con Calle 43 Sur"",28,""[[4.600, -74.175], [4.602, -74.176], [4.601, -74.174], [4.599, -74.173]]"""
"Suba,""Centro Comercial Bulevar Niza"",5,""[[4.710, -74.065], [4.711, -74.066], [4.710, -74.064], [4.709, -74.063]]"""
"Usaquén,""Carrera Séptima con Calle 100"",20,""[[4.685, -74.040], [4.687, -74.041], [4.686, -74.039], [4.684, -74.038]]"""
"Teusaquillo,""Gobernación de Cundinamarca"",0,""[[4.605, -74.085], [4.607, -74.086], [4.606, -74.084], [4.604, -74.083]]"""
"Chapinero,""Avenida Chile (Calle 72)"",23,""[[4.650, -74.060], [4.651, -74.061], [4.650, -74.059], [4.649, -74.058]]"""
"Kennedy,""Portal de Las Américas"",4,""[[4.615, -74.175], [4.617, -74.176], [4.616, -74.174], [4.614, -74.173]]"""
"Engativá,""Avenida Mutis con Avenida Boyacá"",6,""[[4.715, -74.120], [4.717, -74.121], [4.716, -74.119], [4.714, -74.118]]"""
"Fontibón,""Parque La Estancia"",8,""[[4.670, -74.140], [4.671, -74.141], [4.670, -74.139], [4.669, -74.138]]"""
"Ciudad Bolívar,""Mirador de la Media Torta (simulado)"",7,""[[4.540, -74.115], [4.541, -74.116], [4.540, -74.114], [4.539, -74.113]]"""
"San Cristóbal,""Hospital de San Juan de Dios (simulado)"",1,""[[4.565, -74.085], [4.567, -74.086], [4.566, -74.084], [4.564, -74.083]]"""
"Tunjuelito,""Parque Vecinal Tunjuelito"",9,""[[4.575, -74.130], [4.577, -74.131], [4.576, -74.129], [4.574, -74.128]]"""
"Puente Aranda,""Avenida 68 con Carrera 30"",1,""[[4.630, -74.110], [4.632, -74.111], [4.631, -74.109], [4.629, -74.108]]"""
"Rafael Uribe Uribe,""Centro Comercial Ciudad Tunal"",4,""[[4.560, -74.125], [4.561, -74.126], [4.560, -74.124], [4.559, -74.123]]"""
"Usme,""Bosque de Usme (simulado)"",5,""[[4.480, -74.080], [4.481, -74.081], [4.480, -74.079], [4.479, -74.078]]"""
"La Candelaria,""Plazoleta del Concejo de Bogotá"",1,""[[4.590, -74.075], [4.591, -74.076], [4.590, -74.074], [4.589, -74.073]]"""
"Barrios Unidos,""Calle 72 con Carrera 24"",18,""[[4.660, -74.078], [4.662, -74.079], [4.661, -74.077], [4.659, -74.076]]"""
"Santa Fe,""Avenida Caracas con Calle 26"",9,""[[4.610, -74.065], [4.612, -74.066], [4.611, -74.064], [4.609, -74.063]]"""
"Suba,""Intersección de la Avenida Cali con Suba"",31,""[[4.730, -74.100], [4.732, -74.101], [4.731, -74.099], [4.729, -74.098]]"""
